Model,BarChartType,SamplingMethod,DownSamplingLevel,SamplingTarget,Avg_Error
ResNet50,2,ADV,8,Ratio,0.16414622173618007
ResNet50,2,ADV,16,Ratio,0.30670836325924633
ResNet50,2,OOD,2,Ratio,0.07871528333932175
ResNet50,2,OOD,4,Ratio,0.2496840298999918
ResNet50,2,OOD,8,Ratio,0.3267281710999962
ResNet50,2,OOD,16,Ratio,0.3894614980000008
ResNet50,2,IID,2,Height,0.02064350743062393
ResNet50,2,IID,4,Height,0.028869048097833354
ResNet50,2,IID,8,Height,0.07016630841016247
ResNet50,2,IID,16,Height,0.0972507053483393
ResNet50,2,COV,2,Height,0.017828062003797353
ResNet50,2,COV,4,Height,0.021062427384970807
ResNet50,2,COV,8,Height,0.03651727593300096
ResNet50,2,COV,16,Height,0.07779532966913624
ResNet50,2,ADV,2,Height,0.027327735009827533
ResNet50,2,ADV,4,Height,0.07327370889451744
ResNet50,2,ADV,8,Height,0.18102464651430608
ResNet50,2,ADV,16,Height,0.2248490503507407
ResNet50,2,OOD,2,Height,0.08182533826247632
ResNet50,2,OOD,4,Height,0.16565139772749893
ResNet50,2,OOD,8,Height,0.2257751617969225
ResNet50,2,OOD,16,Height,0.2507776961898027
VGG19,3,IID,2,Ratio,0.010843524973717475
VGG19,3,IID,4,Ratio,0.01260285086897707
VGG19,3,IID,8,Ratio,0.016236423006708457
VGG19,3,IID,16,Ratio,0.08707048353898811
VGG19,3,COV,2,Ratio,0.008803351348553218
VGG19,3,COV,4,Ratio,0.008091108426361838
VGG19,3,COV,8,Ratio,0.011868100660732421
VGG19,3,COV,16,Ratio,0.10919286280704828
VGG19,3,ADV,2,Ratio,0.013144577703915927
VGG19,3,ADV,4,Ratio,0.02906534598897869
VGG19,3,ADV,8,Ratio,0.104661965796804
VGG19,3,ADV,16,Ratio,0.2544235986197792
VGG19,3,OOD,2,Ratio,0.05918726698121654
VGG19,3,OOD,4,Ratio,0.25055152885693305
VGG19,3,OOD,8,Ratio,0.32736543019999637
VGG19,3,OOD,16,Ratio,0.3864422719999975
VGG19,3,IID,2,Height,0.013378065549906745
VGG19,3,IID,4,Height,0.016321649378194858
VGG19,3,IID,8,Height,0.04425907832037865
VGG19,3,IID,16,Height,0.08769477784386187
VGG19,3,COV,2,Height,0.01224724026656588
VGG19,3,COV,4,Height,0.012960103334692118
VGG19,3,COV,8,Height,0.019108722029697663
VGG19,3,COV,16,Height,0.054964217028893765
VGG19,3,ADV,2,Height,0.015023801570610984
VGG19,3,ADV,4,Height,0.04307287978803671
VGG19,3,ADV,8,Height,0.2207143079837295
VGG19,3,ADV,16,Height,0.2784172886207943
VGG19,3,OOD,2,Height,0.03988245909952927
VGG19,3,OOD,4,Height,0.13196532816131665
VGG19,3,OOD,8,Height,0.20610169986693166
VGG19,3,OOD,16,Height,0.2658759080872728
ResNet50,3,IID,2,Ratio,0.018025540503984906
ResNet50,3,IID,4,Ratio,0.017669212596784428
ResNet50,3,IID,8,Ratio,0.03134266337893449
ResNet50,3,IID,16,Ratio,0.16118608513558438
ResNet50,3,COV,2,Ratio,0.017703921249934702
ResNet50,3,COV,4,Ratio,0.0180128248563664
ResNet50,3,COV,8,Ratio,0.02063698053246558
ResNet50,3,COV,16,Ratio,0.16493438776843172
ResNet50,3,ADV,2,Ratio,0.020291512557966074
ResNet50,3,ADV,4,Ratio,0.08327013829161749
ResNet50,3,ADV,8,Ratio,0.19301429262892864
ResNet50,3,ADV,16,Ratio,0.2956102144124423
ResNet50,3,OOD,2,Ratio,0.07595791102387388
ResNet50,3,OOD,4,Ratio,0.24903020200201675
ResNet50,3,OOD,8,Ratio,0.32306392649999843
ResNet50,3,OOD,16,Ratio,0.38898747590000543
ResNet50,3,IID,2,Height,0.024731173734997815
ResNet50,3,IID,4,Height,0.03684329042821811
ResNet50,3,IID,8,Height,0.07443673731195452
ResNet50,3,IID,16,Height,0.11568003379043422
ResNet50,3,COV,2,Height,0.02005630696965884
ResNet50,3,COV,4,Height,0.024437675044000167
ResNet50,3,COV,8,Height,0.041512480572067224
ResNet50,3,COV,16,Height,0.1180493660179629
ResNet50,3,ADV,2,Height,0.03259264573234605
ResNet50,3,ADV,4,Height,0.08102323913870596
ResNet50,3,ADV,8,Height,0.23399824384660475
ResNet50,3,ADV,16,Height,0.26459656104446205
ResNet50,3,OOD,2,Height,0.06868506184728677
ResNet50,3,OOD,4,Height,0.16979997281897333
ResNet50,3,OOD,8,Height,0.21904358423406237
ResNet50,3,OOD,16,Height,0.24466816129031904
VGG19,4,IID,2,Ratio,0.008661094429455741
VGG19,4,IID,4,Ratio,0.010486026419516365
VGG19,4,IID,8,Ratio,0.02181971171457322
VGG19,4,IID,16,Ratio,0.11304103270717074
VGG19,4,COV,2,Ratio,0.0090966910732939
VGG19,4,COV,4,Ratio,0.008929545996593067
VGG19,4,COV,8,Ratio,0.011296450597725279
VGG19,4,COV,16,Ratio,0.09944953623603685
VGG19,4,ADV,2,Ratio,0.011552881561849915
VGG19,4,ADV,4,Ratio,0.03881686883751119
VGG19,4,ADV,8,Ratio,0.1138503764367503
VGG19,4,ADV,16,Ratio,0.25670791446613817
VGG19,4,OOD,2,Ratio,0.05946334138128924
VGG19,4,OOD,4,Ratio,0.24668792129999628
VGG19,4,OOD,8,Ratio,0.32520983039999624
VGG19,4,OOD,16,Ratio,0.3816072348999998
VGG19,4,IID,2,Height,0.013157494535153663
VGG19,4,IID,4,Height,0.021137835234504267
VGG19,4,IID,8,Height,0.051366088801035964
VGG19,4,IID,16,Height,0.0929264082061486
VGG19,4,COV,2,Height,0.011046119278929189
VGG19,4,COV,4,Height,0.011492653448663376
VGG19,4,COV,8,Height,0.02989218191773424
VGG19,4,COV,16,Height,0.07162797027092362
VGG19,4,ADV,2,Height,0.018707558715320764
VGG19,4,ADV,4,Height,0.07768686097956726
VGG19,4,ADV,8,Height,0.2474061575814727
VGG19,4,ADV,16,Height,0.33016095512598426
VGG19,4,OOD,2,Height,0.03761742517860677
VGG19,4,OOD,4,Height,0.12939155823100115
VGG19,4,OOD,8,Height,0.18307100781007674
VGG19,4,OOD,16,Height,0.220002460603856
ResNet50,4,IID,2,Ratio,0.016142172561787887
ResNet50,4,IID,4,Ratio,0.017215148129230213
ResNet50,4,IID,8,Ratio,0.03215612048812958
ResNet50,4,IID,16,Ratio,0.1663575336051971
ResNet50,4,COV,2,Ratio,0.015153245035924141
ResNet50,4,COV,4,Ratio,0.017005653911140176
ResNet50,4,COV,8,Ratio,0.01838195283100513
ResNet50,4,COV,16,Ratio,0.11574577137395267
ResNet50,4,ADV,2,Ratio,0.021634863380416775
ResNet50,4,ADV,4,Ratio,0.07602083740353795
ResNet50,4,ADV,8,Ratio,0.16113026210645626
ResNet50,4,ADV,16,Ratio,0.3000726756759496
ResNet50,4,OOD,2,Ratio,0.08214281540461763
ResNet50,4,OOD,4,Ratio,0.27566301829999607
ResNet50,4,OOD,8,Ratio,0.34508551229999934
ResNet50,4,OOD,16,Ratio,0.389173840499996
ResNet50,4,IID,2,Height,0.020769611616245673
ResNet50,4,IID,4,Height,0.030966472150372026
ResNet50,4,IID,8,Height,0.06519915952319275
ResNet50,4,IID,16,Height,0.09983192896958805
ResNet50,4,COV,2,Height,0.018381065950591066
ResNet50,4,COV,4,Height,0.02077459858049421
ResNet50,4,COV,8,Height,0.03421096884647922
ResNet50,4,COV,16,Height,0.08780541441825762
ResNet50,4,ADV,2,Height,0.02719275764716668
ResNet50,4,ADV,4,Height,0.07512082740956316
ResNet50,4,ADV,8,Height,0.21101389844120244
ResNet50,4,ADV,16,Height,0.2565952903634266
ResNet50,4,OOD,2,Height,0.05154510155825624
ResNet50,4,OOD,4,Height,0.15517896777366177
ResNet50,4,OOD,8,Height,0.18519102180436492
ResNet50,4,OOD,16,Height,0.2284717963354194
VGG19,5,IID,2,Ratio,0.010785471587204972
VGG19,5,IID,4,Ratio,0.01202658904169318
VGG19,5,IID,8,Ratio,0.024667129047223752
VGG19,5,IID,16,Ratio,0.11733495581908703
VGG19,5,COV,2,Ratio,0.008868049699200572
VGG19,5,COV,4,Ratio,0.010172138497931499
VGG19,5,COV,8,Ratio,0.0120637992121628
VGG19,5,COV,16,Ratio,0.10934718427059457
VGG19,5,ADV,2,Ratio,0.012112692344945768
VGG19,5,ADV,4,Ratio,0.06519735606669862
VGG19,5,ADV,8,Ratio,0.1141921287210851
VGG19,5,ADV,16,Ratio,0.21233626649931356
VGG19,5,OOD,2,Ratio,0.0636358150401512
VGG19,5,OOD,4,Ratio,0.21474931049999496
VGG19,5,OOD,8,Ratio,0.30806321949999893
VGG19,5,OOD,16,Ratio,0.3754375484999975
VGG19,5,IID,2,Height,0.01318028128950739
VGG19,5,IID,4,Height,0.02290964658964359
VGG19,5,IID,8,Height,0.044923168830869074
VGG19,5,IID,16,Height,0.0975904146726943
VGG19,5,COV,2,Height,0.013356976002959002
VGG19,5,COV,4,Height,0.015857853394870627
VGG19,5,COV,8,Height,0.02999218792843714
VGG19,5,COV,16,Height,0.06789495036355699
VGG19,5,ADV,2,Height,0.020777136503353756
VGG19,5,ADV,4,Height,0.05910561498422523
VGG19,5,ADV,8,Height,0.19069764454727287
VGG19,5,ADV,16,Height,0.2559629103373724
VGG19,5,OOD,2,Height,0.08893522757485466
VGG19,5,OOD,4,Height,0.20866281348586255
VGG19,5,OOD,8,Height,0.24355909179999802
VGG19,5,OOD,16,Height,0.2968125707000012
ResNet50,5,IID,2,Ratio,0.018176485557891545
ResNet50,5,IID,4,Ratio,0.020153282913962598
ResNet50,5,IID,8,Ratio,0.04917276022470784
ResNet50,5,IID,16,Ratio,0.1559984150924492
ResNet50,5,COV,2,Ratio,0.017830927492736945
ResNet50,5,COV,4,Ratio,0.016819999563619247
ResNet50,5,COV,8,Ratio,0.021972167300380412
ResNet50,5,COV,16,Ratio,0.1296676567297727
ResNet50,5,ADV,2,Ratio,0.02328634741554433
ResNet50,5,ADV,4,Ratio,0.1040804213052322
ResNet50,5,ADV,8,Ratio,0.1635519663051933
ResNet50,5,ADV,16,Ratio,0.2352428076199275
ResNet50,5,OOD,2,Ratio,0.08590264904232363
ResNet50,5,OOD,4,Ratio,0.24194039720000096
ResNet50,5,OOD,8,Ratio,0.3286348981000008
ResNet50,5,OOD,16,Ratio,0.38806334009999294
ResNet50,5,IID,2,Height,0.021879739776952126
ResNet50,5,IID,4,Height,0.032190299505637524
ResNet50,5,IID,8,Height,0.07396719571172373
ResNet50,5,IID,16,Height,0.13567316538295654
ResNet50,5,COV,2,Height,0.017778185861216787
ResNet50,5,COV,4,Height,0.02230911139693588
ResNet50,5,COV,8,Height,0.03966402693884105
ResNet50,5,COV,16,Height,0.10100940737754524
ResNet50,5,ADV,2,Height,0.02984214208529748
ResNet50,5,ADV,4,Height,0.08770535748541872
ResNet50,5,ADV,8,Height,0.24068637037942894
ResNet50,5,ADV,16,Height,0.3012572037022094
ResNet50,5,OOD,2,Height,0.11994127518574711
ResNet50,5,OOD,4,Height,0.26253863585310416
ResNet50,5,OOD,8,Height,0.2845232789639445
ResNet50,5,OOD,16,Height,0.29847171211712004
