Model,BarChartType,SamplingMethod,DownSamplingLevel,SamplingTarget,Avg_Error
ResNet50,2,COV,16,Ratio,0.008977471809605866
ResNet50,2,ADV,2,Ratio,0.00018144094364792474
ResNet50,2,ADV,4,Ratio,0.014257334455132132
ResNet50,2,ADV,8,Ratio,0.017479153362549616
ResNet50,2,ADV,16,Ratio,0.05108169912409544
ResNet50,2,OOD,2,Ratio,0.015025289324535446
ResNet50,2,OOD,4,Ratio,0.06103097542341863
ResNet50,2,OOD,8,Ratio,0.06283051402675204
ResNet50,2,OOD,16,Ratio,0.06353391377314062
ResNet50,2,IID,2,Height,0.0006813378895740555
ResNet50,2,IID,4,Height,0.002996326117963602
ResNet50,2,IID,8,Height,0.010379296497459932
ResNet50,2,IID,16,Height,0.011313140304604908
ResNet50,2,COV,2,Height,0.00022447822284711938
ResNet50,2,COV,4,Height,0.00038851146947864825
ResNet50,2,COV,8,Height,0.0014635718777305554
ResNet50,2,COV,16,Height,0.004910535130005316
ResNet50,2,ADV,2,Height,0.003089474330294624
ResNet50,2,ADV,4,Height,0.008902321372367121
ResNet50,2,ADV,8,Height,0.03497410169925372
ResNet50,2,ADV,16,Height,0.04159197105057066
ResNet50,2,OOD,2,Height,0.007415367228828993
ResNet50,2,OOD,4,Height,0.017336358643758387
ResNet50,2,OOD,8,Height,0.028519734745700156
ResNet50,2,OOD,16,Height,0.033365288537420795
VGG19,3,IID,2,Ratio,8.349772075054123e-05
VGG19,3,IID,4,Ratio,8.019731489055096e-05
VGG19,3,IID,8,Ratio,0.00026930649219472836
VGG19,3,IID,16,Ratio,0.007496735885662232
VGG19,3,COV,2,Ratio,4.1389646896536467e-05
VGG19,3,COV,4,Ratio,3.836781251038898e-05
VGG19,3,COV,8,Ratio,9.141316702073727e-05
VGG19,3,COV,16,Ratio,0.006059496520786608
VGG19,3,ADV,2,Ratio,9.243953022487724e-05
VGG19,3,ADV,4,Ratio,0.0013096223546919725
VGG19,3,ADV,8,Ratio,0.016886742377351854
VGG19,3,ADV,16,Ratio,0.061631073830053285
VGG19,3,OOD,2,Ratio,0.011348891968703525
VGG19,3,OOD,4,Ratio,0.06714559671182735
VGG19,3,OOD,8,Ratio,0.07104373949923264
VGG19,3,OOD,16,Ratio,0.06655810348733814
VGG19,3,IID,2,Height,0.00024447512587268117
VGG19,3,IID,4,Height,0.001649292497930948
VGG19,3,IID,8,Height,0.009022363747660833
VGG19,3,IID,16,Height,0.015396377193527003
VGG19,3,COV,2,Height,8.245124108362636e-05
VGG19,3,COV,4,Height,0.0001028821121878817
VGG19,3,COV,8,Height,0.0006516078998642621
VGG19,3,COV,16,Height,0.003135329958151488
VGG19,3,ADV,2,Height,0.0013705828828934675
VGG19,3,ADV,4,Height,0.0061331126952699115
VGG19,3,ADV,8,Height,0.058529720315030724
VGG19,3,ADV,16,Height,0.0636146542237643
VGG19,3,OOD,2,Height,0.0027435874293300993
VGG19,3,OOD,4,Height,0.016555234092575696
VGG19,3,OOD,8,Height,0.02861337932402724
VGG19,3,OOD,16,Height,0.03603062119588665
ResNet50,3,IID,2,Ratio,0.00017311284440737313
ResNet50,3,IID,4,Ratio,0.00016530557400093254
ResNet50,3,IID,8,Ratio,0.0010047307694797231
ResNet50,3,IID,16,Ratio,0.01709601181903271
ResNet50,3,COV,2,Ratio,0.0001789568574062661
ResNet50,3,COV,4,Ratio,0.00018249822120197857
ResNet50,3,COV,8,Ratio,0.00026759225200504274
ResNet50,3,COV,16,Ratio,0.015101104120339165
ResNet50,3,ADV,2,Ratio,0.0002182547334253446
ResNet50,3,ADV,4,Ratio,0.008777091560866196
ResNet50,3,ADV,8,Ratio,0.026922557452059806
ResNet50,3,ADV,16,Ratio,0.05189502726171648
ResNet50,3,OOD,2,Ratio,0.012998722519652154
ResNet50,3,OOD,4,Ratio,0.061435313368133175
ResNet50,3,OOD,8,Ratio,0.06472126445821967
ResNet50,3,OOD,16,Ratio,0.06457675511469957
ResNet50,3,IID,2,Height,0.0006553262017622274
ResNet50,3,IID,4,Height,0.0037066642317311674
ResNet50,3,IID,8,Height,0.013608541100576684
ResNet50,3,IID,16,Height,0.01822580804011745
ResNet50,3,COV,2,Height,0.00022950440185389383
ResNet50,3,COV,4,Height,0.00044765869188898174
ResNet50,3,COV,8,Height,0.0017911880702083762
ResNet50,3,COV,16,Height,0.012149857887858202
ResNet50,3,ADV,2,Height,0.003102805246616353
ResNet50,3,ADV,4,Height,0.012723846405398654
ResNet50,3,ADV,8,Height,0.05450135635612452
ResNet50,3,ADV,16,Height,0.05510712497689864
ResNet50,3,OOD,2,Height,0.0051775271942949876
ResNet50,3,OOD,4,Height,0.023138243710990564
ResNet50,3,OOD,8,Height,0.030528984291408996
ResNet50,3,OOD,16,Height,0.03119725294741348
VGG19,4,IID,2,Ratio,4.446080259633062e-05
VGG19,4,IID,4,Ratio,7.10456038420618e-05
VGG19,4,IID,8,Ratio,0.0005192136841951289
VGG19,4,IID,16,Ratio,0.009966867774710822
VGG19,4,COV,2,Ratio,4.8590035735534785e-05
VGG19,4,COV,4,Ratio,4.7729407881613796e-05
VGG19,4,COV,8,Ratio,9.618902592037098e-05
VGG19,4,COV,16,Ratio,0.007260541947988748
VGG19,4,ADV,2,Ratio,7.70304827305429e-05
VGG19,4,ADV,4,Ratio,0.004693194738408937
VGG19,4,ADV,8,Ratio,0.011080132736616784
VGG19,4,ADV,16,Ratio,0.06166722393503211
VGG19,4,OOD,2,Ratio,0.008212042049805407
VGG19,4,OOD,4,Ratio,0.06378973419810584
VGG19,4,OOD,8,Ratio,0.07095013221064549
VGG19,4,OOD,16,Ratio,0.06627210313874878
VGG19,4,IID,2,Height,0.00033435234568217234
VGG19,4,IID,4,Height,0.0030371139575841935
VGG19,4,IID,8,Height,0.013210444713430908
VGG19,4,IID,16,Height,0.016989808716617566
VGG19,4,COV,2,Height,8.514497318374649e-05
VGG19,4,COV,4,Height,0.00014505485212681202
VGG19,4,COV,8,Height,0.0013915995382661446
VGG19,4,COV,16,Height,0.00527982153012576
VGG19,4,ADV,2,Height,0.0022253767100998
VGG19,4,ADV,4,Height,0.02092046904061335
VGG19,4,ADV,8,Height,0.07282596429869244
VGG19,4,ADV,16,Height,0.09285198954501811
VGG19,4,OOD,2,Height,0.0018943463059563602
VGG19,4,OOD,4,Height,0.01310188970012274
VGG19,4,OOD,8,Height,0.019709683972957637
VGG19,4,OOD,16,Height,0.02198040649972971
ResNet50,4,IID,2,Ratio,0.000146114137321037
ResNet50,4,IID,4,Ratio,0.0001820065259932543
ResNet50,4,IID,8,Ratio,0.0011702661552412833
ResNet50,4,IID,16,Ratio,0.01794689445146798
ResNet50,4,COV,2,Ratio,0.0001329032654829884
ResNet50,4,COV,4,Ratio,0.00017080620858140886
ResNet50,4,COV,8,Ratio,0.00021179690594789644
ResNet50,4,COV,16,Ratio,0.009013812888699528
ResNet50,4,ADV,2,Ratio,0.000325329574659353
ResNet50,4,ADV,4,Ratio,0.009915325858554435
ResNet50,4,ADV,8,Ratio,0.014433994320632184
ResNet50,4,ADV,16,Ratio,0.05242643127417681
ResNet50,4,OOD,2,Ratio,0.015247240048023917
ResNet50,4,OOD,4,Ratio,0.07139503699615977
ResNet50,4,OOD,8,Ratio,0.07164452397754038
ResNet50,4,OOD,16,Ratio,0.06635565996452324
ResNet50,4,IID,2,Height,0.0006028161162672923
ResNet50,4,IID,4,Height,0.003375569092792092
ResNet50,4,IID,8,Height,0.010815404413322492
ResNet50,4,IID,16,Height,0.014994906734373335
ResNet50,4,COV,2,Height,0.00021494568720316706
ResNet50,4,COV,4,Height,0.0003700551847853439
ResNet50,4,COV,8,Height,0.0012225880336053086
